OrderId,Address,CustomerId,CustomerName,DateFilled,DatePlaced,InvoiceNumber,PaymentStatus,Status,Term
37,"5690 Morgan Territory Rd, London WA SW8 4BG",13,Daniel Shimshoni,2017-01-23 18:30:45,2017-01-23 18:29:11,1681,1,1,0
38,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:27:44,1713,1,1,1
39,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:28:35,1714,1,1,1
40,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:30:50,1712,0,1,0
41,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:28:35,1729,1,1,2
42,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:27:24,1735,1,1,2
43,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:28:23,1733,0,1,1
44,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:28:41,1736,0,1,2
45,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:30:22,1737,1,1,1
46,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:28:38,1739,1,1,2
47,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:29:33,1740,0,1,1
48,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:28:22,1730,1,1,2
49,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:29:33,1734,1,1,2
50,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:28:52,1743,0,1,1
51,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:30:40,1745,1,1,0
52,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:30:45,1741,1,1,2
53,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:29:19,1744,0,1,1
54,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:30:40,1747,0,1,1
55,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:29:44,1742,1,1,2
56,"2646, avenue de l´Europe, Tremblay-en-France WA 93290",29,Erik Serrano,2017-01-23 18:30:55,2017-01-23 18:29:46,1746,0,1,0
57,"8675 Line Court, Berkshire WA RG11 5TP",2,Karl Pal,2017-01-23 18:30:54,2017-01-23 18:29:17,1738,0,1,2
58,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:28:24,1677,0,1,2
59,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:30:46,1731,0,1,2
60,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:28:13,1727,0,1,0
61,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:30:37,1710,1,1,0
62,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:28:47,1709,1,1,0
63,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:28:45,1711,1,1,1
64,"7681 Fern Leaf Lane, Woodburn WA 97071",6,Luke Carter,2017-01-23 18:30:51,2017-01-23 18:29:53,1715,0,1,1
65,"7681 Fern Leaf Lane, Woodburn WA 97071",6,Luke Carter,2017-01-23 18:30:51,2017-01-23 18:30:44,1717,0,1,0
66,"7681 Fern Leaf Lane, Woodburn WA 97071",6,Luke Carter,2017-01-23 18:30:51,2017-01-23 18:29:06,1716,1,1,1
67,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:29:43,1728,0,1,1
68,"9363, rue Saint-Lazare, Saint-Denis WA 93400",4,Amber Evans,2017-01-23 18:30:52,2017-01-23 18:29:03,1723,1,1,2
69,"9363, rue Saint-Lazare, Saint-Denis WA 93400",4,Amber Evans,2017-01-23 18:30:52,2017-01-23 18:28:11,1722,1,1,2
70,"9363, rue Saint-Lazare, Saint-Denis WA 93400",4,Amber Evans,2017-01-23 18:30:52,2017-01-23 18:28:32,1724,1,1,0
71,"9363, rue Saint-Lazare, Saint-Denis WA 93400",4,Amber Evans,2017-01-23 18:30:52,2017-01-23 18:29:28,1725,1,1,1
72,"9363, rue Saint-Lazare, Saint-Denis WA 93400",4,Amber Evans,2017-01-23 18:30:52,2017-01-23 18:30:19,1721,1,1,2
73,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:27:24,1732,0,1,0
74,"707 Willcrest Circle, Hobart WA 7001",3,Gary Jimenez,2017-01-23 18:30:53,2017-01-23 18:27:28,1726,1,1,2
75,"5508 Glenmount Dr., Royal Oak WA V8X",15,Bryce Brooks,2017-01-23 18:30:44,2017-01-23 18:28:49,1670,1,1,2
76,"5508 Glenmount Dr., Royal Oak WA V8X",15,Bryce Brooks,2017-01-23 18:30:44,2017-01-23 18:27:14,1671,1,1,2
77,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:43,2017-01-23 18:27:20,1667,0,1,1
78,"673 Old Mountain View Dr., Seattle WA 98104",24,James Brown,2017-01-23 18:30:34,2017-01-23 18:29:06,1613,1,1,1
79,"6155 Buckthorn Court, Bellingham WA 98225",23,Walter Suarez,2017-01-23 18:30:35,2017-01-23 18:30:07,1614,1,1,1
80,"6155 Buckthorn Court, Bellingham WA 98225",23,Walter Suarez,2017-01-23 18:30:35,2017-01-23 18:30:12,1615,0,1,0
81,"6155 Buckthorn Court, Bellingham WA 98225",23,Walter Suarez,2017-01-23 18:30:35,2017-01-23 18:27:51,1617,1,1,0
82,"6155 Buckthorn Court, Bellingham WA 98225",23,Walter Suarez,2017-01-23 18:30:35,2017-01-23 18:28:40,1616,0,1,0
83,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:36,2017-01-23 18:28:58,1623,0,1,2
84,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:36,2017-01-23 18:27:52,1622,1,1,0
85,"673 Old Mountain View Dr., Seattle WA 98104",24,James Brown,2017-01-23 18:30:34,2017-01-23 18:30:33,1612,0,1,2
86,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:36,2017-01-23 18:30:22,1624,0,1,2
87,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:35,2017-01-23 18:28:08,1621,0,1,2
88,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:35,2017-01-23 18:29:14,1618,0,1,2
89,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:36,2017-01-23 18:27:51,1625,0,1,0
90,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:36,2017-01-23 18:28:15,1626,1,1,0
91,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:35,2017-01-23 18:27:35,1619,1,1,2
92,"9693 Mellowood Street, National City WA 91950",22,Megan Torres,2017-01-23 18:30:35,2017-01-23 18:29:36,1620,0,1,0
93,"673 Old Mountain View Dr., Seattle WA 98104",24,James Brown,2017-01-23 18:30:34,2017-01-23 18:27:07,1609,0,1,2
94,"673 Old Mountain View Dr., Seattle WA 98104",24,James Brown,2017-01-23 18:30:34,2017-01-23 18:28:32,1610,0,1,1
95,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:32,2017-01-23 18:27:15,1600,1,1,0
96,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:32,2017-01-23 18:29:09,1601,0,1,2
97,"673 Old Mountain View Dr., Seattle WA 98104",24,James Brown,2017-01-23 18:30:34,2017-01-23 18:28:28,1611,0,1,0
98,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:33,2017-01-23 18:27:34,1604,0,1,0
99,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:33,2017-01-23 18:28:40,1605,1,1,0
100,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:32,2017-01-23 18:29:01,1602,0,1,2
101,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:32,2017-01-23 18:28:52,1598,0,1,1
102,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:32,2017-01-23 18:28:49,1599,0,1,2
103,"7917 Snowberry Court, W. Linn WA 97068",25,Tristan Perry,2017-01-23 18:30:33,2017-01-23 18:27:10,1606,0,1,0
104,"7917 Snowberry Court, W. Linn WA 97068",25,Tristan Perry,2017-01-23 18:30:34,2017-01-23 18:27:09,1607,1,1,1
105,"7917 Snowberry Court, W. Linn WA 97068",25,Tristan Perry,2017-01-23 18:30:34,2017-01-23 18:29:51,1608,1,1,1
106,"8138 Golf Club Road, Melton WA 3337",26,Kimberly Reed,2017-01-23 18:30:32,2017-01-23 18:29:55,1603,1,1,2
107,"504 O St., Lemon Grove WA 91945",17,Nicholas Thompson,2017-01-23 18:30:42,2017-01-23 18:29:01,1661,0,1,2
108,"504 O St., Lemon Grove WA 91945",17,Nicholas Thompson,2017-01-23 18:30:42,2017-01-23 18:28:56,1659,1,1,2
109,"504 O St., Lemon Grove WA 91945",17,Nicholas Thompson,2017-01-23 18:30:42,2017-01-23 18:27:11,1658,1,1,1
110,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:43,2017-01-23 18:28:37,1666,0,1,0
111,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:43,2017-01-23 18:28:34,1669,1,1,0
112,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:42,2017-01-23 18:28:12,1663,0,1,0
113,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:42,2017-01-23 18:28:10,1664,1,1,2
114,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:42,2017-01-23 18:28:33,1665,1,1,0
115,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:43,2017-01-23 18:29:03,1668,1,1,2
116,"6977 Evergreen Ct., Gold Coast WA 4217",16,Kaylee Gonzalez,2017-01-23 18:30:42,2017-01-23 18:27:11,1662,0,1,2
117,"504 O St., Lemon Grove WA 91945",17,Nicholas Thompson,2017-01-23 18:30:42,2017-01-23 18:28:31,1660,1,1,0
118,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:27:51,1644,0,1,2
119,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:27:39,1638,0,1,0
120,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:30:09,1636,0,1,2
121,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:30:35,1641,0,1,2
122,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:29:26,1635,1,1,2
123,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:27:37,1639,1,1,0
124,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:29:57,1640,0,1,0
125,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:29:32,1634,0,1,2
126,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:28:47,1645,0,1,0
127,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:29:54,1649,1,1,0
128,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:27:19,1648,0,1,2
129,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:28:59,1643,1,1,2
130,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:27:37,1646,0,1,1
131,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:30:30,1647,1,1,1
132,"3852 Northridge Dr., Colma WA 94014",19,Bryan Gray,2017-01-23 18:30:39,2017-01-23 18:29:17,1642,0,1,0
133,"9828 Hook Court, Lynnwood WA 98036",20,Amanda Bennett,2017-01-23 18:30:38,2017-01-23 18:28:46,1637,0,1,2
134,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:13,2017-01-23 18:28:42,1856,1,1,0
135,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:13,2017-01-23 18:30:57,1854,0,1,0
136,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:13,2017-01-23 18:30:05,1851,0,1,1
137,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:14,2017-01-23 18:30:00,1859,0,1,0
138,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:13,2017-01-23 18:28:24,1855,1,1,1
139,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:14,2017-01-23 18:30:51,1858,1,1,1
140,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:13,2017-01-23 18:30:38,1852,1,1,1
141,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:13,2017-01-23 18:29:57,1853,1,1,0
142,"7218 Canyon Way, Vancouver WA V7L 4J4",42,Sara Cox,2017-01-23 18:31:14,2017-01-23 18:28:05,1860,0,1,0
143,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:28:38,1868,0,1,0
144,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:30:18,1866,1,1,0
145,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:28:56,1862,0,1,2
146,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:30:24,1861,0,1,1
147,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:29:22,1865,1,1,0
148,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:28:26,1864,0,1,2
149,"Unter Linden 924, Kassel WA 34117",43,Shaun Sharma,2017-01-23 18:31:14,2017-01-23 18:29:11,1857,0,1,2
150,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:30:37,1848,0,1,0
151,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:27:48,1844,0,1,0
152,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:13,2017-01-23 18:30:50,1850,1,1,2
153,"8158 Pheasant Court, Novato WA 94947",46,Abigail Cox,2017-01-23 18:31:10,2017-01-23 18:29:22,1832,0,1,1
154,"8158 Pheasant Court, Novato WA 94947",46,Abigail Cox,2017-01-23 18:31:10,2017-01-23 18:29:39,1833,1,1,0
155,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:30:52,1835,1,1,2
156,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:30:31,1842,0,1,2
157,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:29:36,1840,1,1,1
158,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:27:55,1836,0,1,2
159,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:28:22,1839,1,1,1
160,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:29:54,1863,1,1,0
161,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:30:44,1841,0,1,1
162,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:30:35,1838,1,1,0
163,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:27:45,1837,1,1,2
164,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:28:53,1849,1,1,0
165,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:28:27,1847,0,1,1
166,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:29:36,1846,0,1,1
167,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:28:04,1845,1,1,2
168,"8384 Golden Rain Road, Burien WA 98168",44,Steven Selikoff,2017-01-23 18:31:12,2017-01-23 18:29:22,1843,1,1,0
169,"2585 San Vincente Drive, Gateshead WA GA10",45,Brad Raje,2017-01-23 18:31:11,2017-01-23 18:28:31,1834,1,1,1
170,"3830 York Dr., Newport Beach WA 92625",41,Robert Hill,2017-01-23 18:31:15,2017-01-23 18:30:54,1867,1,1,0
171,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:29:51,1871,1,1,1
172,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:28:30,1872,0,1,0
173,"3708 Lenox Ct, Metchosin WA V9",36,Ryan Gonzales,2017-01-23 18:31:19,2017-01-23 18:29:46,1889,1,1,2
174,"Kampstr 6246, Salzgitter WA 38231",35,Darren Diaz,2017-01-23 18:31:20,2017-01-23 18:28:07,1892,0,1,2
175,"Kampstr 6246, Salzgitter WA 38231",35,Darren Diaz,2017-01-23 18:31:20,2017-01-23 18:31:16,1896,1,1,0
176,"Kampstr 6246, Salzgitter WA 38231",35,Darren Diaz,2017-01-23 18:31:20,2017-01-23 18:30:46,1894,0,1,0
177,"Kampstr 6246, Salzgitter WA 38231",35,Darren Diaz,2017-01-23 18:31:21,2017-01-23 18:28:50,1897,0,1,0
178,"Kampstr 6246, Salzgitter WA 38231",35,Darren Diaz,2017-01-23 18:31:20,2017-01-23 18:29:01,1893,0,1,0
179,"Kampstr 6246, Salzgitter WA 38231",35,Darren Diaz,2017-01-23 18:31:20,2017-01-23 18:29:35,1895,0,1,2
180,"3708 Lenox Ct, Metchosin WA V9",36,Ryan Gonzales,2017-01-23 18:31:19,2017-01-23 18:27:54,1888,1,1,2
181,"4569 La Salle Ct., Puyallup WA 98371",33,Logan Bryant,2017-01-23 18:31:23,2017-01-23 18:28:33,1911,1,1,0
182,"4569 La Salle Ct., Puyallup WA 98371",33,Logan Bryant,2017-01-23 18:31:23,2017-01-23 18:28:11,1909,0,1,1
183,"852 Santa Maria, Coronado WA 92118",47,Jasmine Long,2017-01-23 18:31:09,2017-01-23 18:29:38,1824,0,1,0
184,"3708 Lenox Ct, Metchosin WA V9",36,Ryan Gonzales,2017-01-23 18:31:19,2017-01-23 18:28:27,1887,1,1,1
185,"3708 Lenox Ct, Metchosin WA V9",36,Ryan Gonzales,2017-01-23 18:31:20,2017-01-23 18:29:51,1891,0,1,2
186,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:30:26,1876,0,1,2
187,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:30:43,1869,1,1,0
188,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:31:09,1870,0,1,0
189,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:17,2017-01-23 18:28:19,1877,0,1,0
190,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:31:06,1874,1,1,2
191,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:28:05,1875,0,1,2
192,"415 Silver Cypress Ct., Bendigo WA 3550",40,Morgan Johnson,2017-01-23 18:31:16,2017-01-23 18:27:43,1873,1,1,1
193,"3708 Lenox Ct, Metchosin WA V9",36,Ryan Gonzales,2017-01-23 18:31:19,2017-01-23 18:30:46,1890,0,1,0
194,"3067 Maya, Coffs Harbour WA 2450",39,Mandy She,2017-01-23 18:31:18,2017-01-23 18:29:30,1878,0,1,1
195,"1895 San Carlos Ave., Kirkland WA 98033",38,Caleb Campbell,2017-01-23 18:31:18,2017-01-23 18:31:02,1880,0,1,1
196,"3067 Maya, Coffs Harbour WA 2450",39,Mandy She,2017-01-23 18:31:18,2017-01-23 18:31:13,1879,0,1,0
197,"852 Santa Maria, Coronado WA 92118",47,Jasmine Long,2017-01-23 18:31:09,2017-01-23 18:28:19,1827,1,1,2
